index,id,name,name.1,rating,rating_count,type_id,price,acidity,intensity,sweetness,tannin,style_name,style_grapes
37017,1870660,Domaine Carneros Brut Rosé (Cuvée de la Pompadour) 2010,Brut Rosé (Cuvée de la Pompadour),4.0,333,3,46.54,3.3730175000000004,3.7762475,0.0,0.0,Californian Sparkling,"[{'id': 5, 'name': 'Chardonnay', 'seo_name': 'chardonnay', 'has_detailed_info': True, 'wines_count': 538420}, {'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}]"
37020,3324991,Domaine Carneros Cuvée Brut Late Disgorged 2010,Cuvée Brut Late Disgorged,4.0,314,3,38.58,3.3214538,3.9347155,0.0,0.0,Californian Sparkling,"[{'id': 5, 'name': 'Chardonnay', 'seo_name': 'chardonnay', 'has_detailed_info': True, 'wines_count': 538420}, {'id': 14, 'name': 'Pinot Noir', 'seo_name': 'pinot-noir', 'has_detailed_info': True, 'wines_count': 510456}]"
38691,142676875,Kendermanns Gewürztraminer 2015,Gewürztraminer,3.4,119,2,11.91,2.3801205000000003,3.6656628,2.435542,0.0,German Gewürztraminer,"[{'id': 7, 'name': 'Gewürztraminer', 'seo_name': 'gewurztraminer', 'has_detailed_info': True, 'wines_count': 53013}]"
38754,160372568,Schäfer-Fröhlich Gewürztraminer Trocken 2018,Gewürztraminer Trocken,4.1,60,2,38.13,2.4231665,3.7031112,2.6802778,0.0,German Gewürztraminer,"[{'id': 7, 'name': 'Gewürztraminer', 'seo_name': 'gewurztraminer', 'has_detailed_info': True, 'wines_count': 53013}]"
43457,152909906,Eagles' Nest Viognier 2017,Viognier,3.8,305,2,18.55,1.8093208,3.3847547,2.3383071,0.0,South African Viognier,"[{'id': 20, 'name': 'Viognier', 'seo_name': 'viognier', 'has_detailed_info': True, 'wines_count': 78983}]"
43517,142173903,High Constantia Cabernet Franc 2012,Cabernet Franc,4.0,53,1,27.56,3.2576132,3.549322,1.2564573,3.1909044,South African Cabernet Franc,"[{'id': 3, 'name': 'Cabernet Franc', 'seo_name': 'cabernet-franc', 'has_detailed_info': True, 'wines_count': 241823}]"
43537,90982618,Buitenverwachting Malbec 2012,Malbec,4.0,33,1,0.0,2.7343364,3.8869026,1.9474336,2.1630974,South African Malbec,"[{'id': 9, 'name': 'Malbec', 'seo_name': 'malbec', 'has_detailed_info': True, 'wines_count': 196173}]"
48872,157102731,Lowerland Witgat Viognier 2017,Witgat Viognier,4.1,25,2,9.26,1.7184849999999998,3.2348485,2.1818182,0.0,South African Viognier,"[{'id': 20, 'name': 'Viognier', 'seo_name': 'viognier', 'has_detailed_info': True, 'wines_count': 78983}]"
48921,1306509,Tio Pepe Palomino Fino Sherry (Muy Seco) 2008,Palomino Fino Sherry (Muy Seco),3.2,437,24,82.0,3.8674116,3.6369052,2.5338895,0.0,Spanish Sherry,"[{'id': 38, 'name': 'Palomino', 'seo_name': 'palomino', 'has_detailed_info': False, 'wines_count': 6911}, {'id': 59, 'name': 'Moscato', 'seo_name': 'moscato', 'has_detailed_info': False, 'wines_count': 30982}, {'id': 454, 'name': 'Pedro Ximenez', 'seo_name': 'pedro-ximenez', 'has_detailed_info': False, 'wines_count': 4434}]"
50022,154779644,Romisches Weindorf Dr. Schnaider Gewürztraminer Halbtrocken 2016,Dr. Schnaider Gewürztraminer Halbtrocken,3.8,2300,2,6.25,2.525145,3.1850724,2.7116666,0.0,German Gewürztraminer,"[{'id': 7, 'name': 'Gewürztraminer', 'seo_name': 'gewurztraminer', 'has_detailed_info': True, 'wines_count': 53013}]"
