id,name,rating,name,wine_id,winery_id,winery_name,price,acidity,fizziness,intensity,sweetness,tannin,style_id,style_name,style_varietal_name
159658572,Girlan Lagrein 2018,3.6,Lagrein,1885887,11521,Girlan,22.08,2.7354128,,3.7446983,1.8557142,2.987262,130,Northern Italy Red,Red
145207568,Bongiovanni Langhe Arneis 2016,3.7,Langhe Arneis,2542577,225842,Bongiovanni,17.57,3.3600993,,3.9760597,1.9876488,,131,Northern Italy White,White
141466112,Terre Bianche Vermentino Riviera Ligure di Ponente 2015,3.7,Vermentino Riviera Ligure di Ponente,1823517,30596,Terre Bianche,23.21,3.7129304,,3.5977209,1.881628,,131,Northern Italy White,White
16827437,Vinica Lame del Sorbo Tintilia del Molise 2013,3.6,Lame del Sorbo Tintilia del Molise,2284578,148042,Vinica,16.92,2.7408059,,4.498877,2.2354558,2.9551122,208,Southern Italy Red,Red
141181972,Mura Cortes Cannonau di Sardegna 2015,3.8,Cortes Cannonau di Sardegna,1313790,138322,Mura,17.41,3.3215113,,3.8313954,1.2422675,3.0196512,91,Sardinian Cannonau,Cannonau
16575637,Il Verro Lautonis Casavecchia 2015,3.3,Lautonis Casavecchia,1752387,36990,Il Verro,19.02,2.6381943,,3.615324,1.71,2.99875,130,Northern Italy Red,Red
157197503,Cantina Roccafiore Rosso Melograno 2018,3.5,Rosso Melograno,2556362,58243,Cantina Roccafiore,15.31,3.370498,,2.826033,1.5058522,2.7724133,47,Central Italy Red,Red
141510800,San Patrignano Ora 2016,3.5,Ora,1220462,5279,San Patrignano,16.28,2.7650554,,3.854822,1.8656335,3.1260762,130,Northern Italy Red,Red
111981555,Matteo Correggia Anthos 2015,3.6,Anthos,2099837,4299,Matteo Correggia,18.37,2.8956454,,3.624113,2.2790241,2.8916473,130,Northern Italy Red,Red
1177441,Bodega Norton Barrel Select Malbec 2005,3.8,Barrel Select Malbec,1136013,5668,Bodega Norton,22.76,2.732736,,3.8431766,1.9676903,2.3810108,98,Argentinian Malbec,Malbec
160823407,Colli Vicentini Torre dei Vescovi Merlot 2018,3.7,Torre dei Vescovi Merlot,1830199,32157,Colli Vicentini,12.73,2.0699072,,3.705721,1.5651628,2.81014,130,Northern Italy Red,Red
15074360,Finca Nueva Crianza 2015,3.7,Crianza,1210509,37004,Finca Nueva,16.52,3.8122492,,3.7914386,1.5414854,3.7956853,190,Spanish Rioja Red,Rioja Red
152954361,Domaine la Soumade Rasteau 2017,3.8,Rasteau,97795,2006,Domaine la Soumade,20.95,3.430551,,4.0090084,1.5293022,3.2084203,212,Southern Rhône Red,Red
160850263,Jean Ginglinger Pinot Blanc 2018,3.9,Pinot Blanc,2643761,21569,Jean Ginglinger,23.13,,,,,,139,Alsace Pinot Blanc,Pinot Blanc
160147196,Fox Grove Chardonnay - Sémillon 2019,3.8,Chardonnay - Sémillon,1188909,68533,Fox Grove,18.95,,,,,,,,
159511425,Hans Baer Pinot Noir Trocken 2019,3.6,Pinot Noir Trocken,6353496,230718,Hans Baer,20.95,3.962626,,1.2624323,1.5835214,2.0151043,160,German Spätburgunder,Spätburgunder
150406402,Château Cap d’Or Saint-Georges Saint-Émilion 2016,3.8,Saint-Georges Saint-Émilion,1587820,252395,Château Cap d’Or,17.73,3.3300998,,4.231275,1.5787796,3.6646357,266,Bordeaux Saint-Émilion,Saint-Émilion
1387615,Caliterra Reserva Carmenère 2011,3.4,Reserva Carmenère,98580,5765,Caliterra,23.71,3.0902066,,4.192924,1.6903249,2.6032279,45,Chilean Carménère,Carménère
158879597,Domaine Gallety Haute Vigne Côtes du Vivarais 2018,4,Haute Vigne Côtes du Vivarais,1815591,3988,Domaine Gallety,22.56,3.6851344,,3.8392742,1.8261827,3.4557528,212,Southern Rhône Red,Red
158248989,Alegro Crianza 2017,3.2,Crianza,6359536,238592,Alegro,21.92,3.613048,,3.7027886,1.299781,3.6810558,190,Spanish Rioja Red,Rioja Red
142216120,Sota els Àngels Flow Tinto 2015,3.7,Flow Tinto,2385114,35943,Sota els Àngels,24.01,3.1252813,,3.702595,1.3248639,3.0681124,176,Spanish Red,Red
159722864,Angel Lorenzo Cachazo Martivilli Sauvignon Blanc Rueda 2018,3.3,Martivilli Sauvignon Blanc Rueda,76478,29492,Angel Lorenzo Cachazo,12.17,3.994035,,3,1.1316959,,204,Spanish Sauvignon Blanc,Sauvignon Blanc
144436051,Castillo de Monjardin Coupage Selección Crianza 2016,3.6,Coupage Selección Crianza,1776643,12089,Castillo de Monjardin,12.25,3.0369728,,3.7983143,1.9188989,2.9399543,176,Spanish Red,Red
26951248,Espelt Moscatell de L’Empordà 2015,3.7,Moscatell de L’Empordà,1451287,5667,Espelt,11.85,,,,,,,,
159564139,Ostatu Rioja Tinto 2019,3.5,Rioja Tinto,2516179,14066,Ostatu,10.96,3.808317,,3.5816438,1.9670842,3.9017122,190,Spanish Rioja Red,Rioja Red
96529702,Viladellops Garnatxa 2016,3.2,Garnatxa,1585724,28272,Viladellops,10.88,3.322701,,4.581691,1.7038969,2.9464743,92,Spanish Grenache,Grenache
29141546,Marques de Vitoria Rioja Reserva 2014,3.9,Rioja Reserva,3490,6852,Marques de Vitoria,19.26,3.5940247,,3.8168278,1.8625983,3.5516064,190,Spanish Rioja Red,Rioja Red
59530107,Luberri Monje Amestoy de Luberri Reserva 2014,4.1,Monje Amestoy de Luberri Reserva,1235240,17656,Luberri,24.58,3.5698838,,3.8577037,1.638808,3.7198546,190,Spanish Rioja Red,Rioja Red
156296866,Barranco Oscuro Varetúo 2018,3.6,Varetúo,3551452,17017,Barranco Oscuro,20.39,,,,,,304,Spanish Tempranillo,Tempranillo
3084547,Yarra Burn Premium Cuvée Rosé,3.3,Premium Cuvée Rosé,1841352,6324,Yarra Burn,15.89,,,,,,,,
15139263,Pago de Vallegarcía Petit Hipperia 2015,3.9,Petit Hipperia,1539907,13136,Pago de Vallegarcía,22.32,3.0669117,,3.990063,1.7372088,3.081643,176,Spanish Red,Red
71966020,Rocca di Castagnoli Chianti Classico 2015,3.6,Chianti Classico,1135556,13459,Rocca di Castagnoli,18.86,3.899818,,3.1172974,1.4553322,3.5153565,69,Italian Chianti,Chianti
145801921,Jean-Michel Gerin La Champine Syrah 2013,3.7,La Champine Syrah,4723243,2164,Jean-Michel Gerin,20.63,3.6787384,,3.8277848,1.4753693,3.3625233,134,Northern Rhône Red,Red
149216455,Kühling-Gillot Qvinterra Riesling Trocken 2016,3.8,Qvinterra Riesling Trocken,1215321,7271,Kühling-Gillot,20.07,4.6961365,,2.9520776,1.5037911,,186,German Riesling,Riesling
7872279,Jacob's Creek Sparkling Moscato Rosé,3.7,Sparkling Moscato Rosé,2570785,6806,Jacob's Creek,9.47,,,,,,,,
160800640,Casa Castillo Vino de Finca 2018,3.8,Vino de Finca,5961896,3122,Casa Castillo,18.53,3.2447186,,3.632398,2.3320708,3.2061672,176,Spanish Red,Red
159528087,Château Revelette Coteaux d'Aix en Provence Rouge 2019,4,Coteaux d'Aix en Provence Rouge,91794,4804,Château Revelette,20.15,,,,,,,,
159731035,Fertuna Droppello Toscana Bianco 2018,3.8,Droppello Toscana Bianco,1309335,34296,Fertuna,15.96,3.8778045,,3.0814023,2.152309,,48,Central Italy White,White
2658132,Riccadonna Ruby Dolce,4,Ruby Dolce,1696139,25417,Riccadonna,13.86,,,,,,,,
161741739,Barone di Serramarrocco Quojane di Serramarrocco 2019,4.5,Quojane di Serramarrocco,2226416,52604,Barone di Serramarrocco,21.76,2.8703685,,3.9840453,1.6990669,,209,Southern Italy White,White
162531066,Château de Villeneuve Chenin Saumur 2019,3.8,Chenin Saumur,79601,11264,Château de Villeneuve,20.95,4.7946825,,2.0859225,1.6278759,,251,Loire Chenin Blanc,Chenin Blanc
156035057,Domaine de l'R Les Cinq Elements 2017,3.9,Les Cinq Elements,1868117,58158,Domaine de l'R,19.34,,,,,,,,
159892983,Abel Mendoza Monge Jarrarte 2019,3.7,Jarrarte,1221602,3495,Abel Mendoza Monge,10.88,3.7970538,,3.7439957,1.8239397,3.7852788,190,Spanish Rioja Red,Rioja Red
143981762,Juvé & Camps Casa Vella d'Espiells Cabernet Sauvignon 2015,4,Casa Vella d'Espiells Cabernet Sauvignon,1183629,11115,Juvé & Camps,19.82,3.498847,,4.792895,1.5402824,3.6849647,39,Spanish Cabernet Sauvignon,Cabernet Sauvignon
160660426,L'Archetipo Fiano 2018,3.9,Fiano,5034531,218311,L'Archetipo,22.56,2.7174075,,3.8343732,1.6451565,,209,Southern Italy White,White
5205790,DG Viticultors Cinclus SC 2013,3.9,Cinclus SC,1596993,30015,DG Viticultors,17.57,,,,,,,,
1252559,JP. Chenet Original Cabernet - Syrah 2005,3,Original Cabernet - Syrah,84404,11587,JP. Chenet,23.71,3.549108,,3.5437582,1.7418022,3.3397133,94,Languedoc-Roussillon Red,Red
4061104,Château Tour des Gendres Bergerac (Merlot - Malbec) 2013,3.7,Bergerac (Merlot - Malbec),1227027,5122,Château Tour des Gendres,19.88,,,,,,,,
152540856,Dievole Chianti Classico 2017,3.7,Chianti Classico,4365029,2951,Dievole,24.01,3.8726933,,3.1764884,1.4331131,3.6308537,69,Italian Chianti,Chianti
158458792,René Bouvier Bourgogne Chardonnay 2017,3.6,Bourgogne Chardonnay,4914628,3394,René Bouvier,22.56,3.2742424,,3.4774244,1.1524242,,24,Burgundy White,White
1252559,JP. Chenet Original Cabernet - Syrah 2005,3,Original Cabernet - Syrah,84404,11587,JP. Chenet,23.71,3.549108,,3.5437582,1.7418022,3.3397133,94,Languedoc-Roussillon Red,Red
159892983,Abel Mendoza Monge Jarrarte 2019,3.7,Jarrarte,1221602,3495,Abel Mendoza Monge,10.88,3.7970538,,3.7439957,1.8239397,3.7852788,190,Spanish Rioja Red,Rioja Red
158458792,René Bouvier Bourgogne Chardonnay 2017,3.6,Bourgogne Chardonnay,4914628,3394,René Bouvier,22.56,3.2742424,,3.4774244,1.1524242,,24,Burgundy White,White
4061104,Château Tour des Gendres Bergerac (Merlot - Malbec) 2013,3.7,Bergerac (Merlot - Malbec),1227027,5122,Château Tour des Gendres,19.88,,,,,,,,
152540856,Dievole Chianti Classico 2017,3.7,Chianti Classico,4365029,2951,Dievole,24.01,3.8726933,,3.1764884,1.4331131,3.6308537,69,Italian Chianti,Chianti
156290558,Villa Maria Clifford Bay Reserve Sauvignon Blanc 2018,4.2,Clifford Bay Reserve Sauvignon Blanc,23977,2112,Villa Maria,24.78,4.3964663,,2.7463315,1.4483753,,202,New Zealand Sauvignon Blanc,Sauvignon Blanc
160766287,Emilio Vada Moscato d'Asti 2019,4,Moscato d'Asti,1602298,103920,Emilio Vada,20.31,2.3661635,1.5143396,2.3479874,,,125,Italian Moscato d'Asti,Moscato d'Asti
159498254,Habla Silencio 2019,3.8,Silencio,1250095,14952,Habla,16.84,3.0932348,,3.8543215,1.8194416,3.038137,176,Spanish Red,Red
11818556,Pardas Negre Franc 2014,4,Negre Franc,1247757,32430,Pardas,21.03,3.0837064,,3.9166346,1.7247962,3.057902,176,Spanish Red,Red
145026139,Le Terrazze Rosso Conero 2016,3.9,Rosso Conero,1107875,4035,Le Terrazze,18.53,3.2286835,,3.342304,1.4170377,2.98394,47,Central Italy Red,Red
163818366,Geografico Contessa di Radda Toscana 2018,3.9,Contessa di Radda Toscana,8162578,3707,Geografico,15.94,3.2582314,,3.3307369,1.5961452,2.9994898,292,Tuscan Red,Red
