rating,price,acidity,intensity,fizziness,sweetness,tannin,style_varietal_name,type_name,type_id,keep
4.0,66.81,3.721518,2.5494719,,1.2549175,2.0956538,Côte de Beaune Red,Red,1,True
4.1,33.58,3.8851316,2.5404823,,1.6696491000000002,2.053114,Côte de Beaune Red,Red,1,True
4.3,56.47,3.8815,2.6888056000000002,,1.5894166,2.4300842,Côte de Beaune Red,Red,1,True
4.1,136.0,3.6789214999999995,2.7351036,,1.3997302,2.2963068,Côte de Beaune Red,Red,1,True
4.0,124.98,3.5982258000000003,2.6696775,,1.3777419,2.0576343999999995,Côte de Beaune Red,Red,1,True
4.0,46.88,4.0823846,2.4715064,,1.1785774,2.2478662,Côte de Beaune Red,Red,1,True
4.1,220.0,3.9901912000000004,2.6873248,,1.2787899,2.1467357000000002,Côte de Beaune Red,Red,1,True
4.2,72.37,3.2510482999999994,3.5795567000000004,,1.4925001,,Côte de Beaune White,White,2,True
4.1,112.63,3.7456093,2.59423,,1.4371264,2.0425746,Côte de Beaune Red,Red,1,True
4.1,731.0,3.904293,2.6850345,,1.6631206000000005,2.2955346000000003,Côte de Beaune Red,Red,1,True
3.7,79.0,3.7167785,2.6573284,,1.7461370999999999,2.2908394,Côte de Beaune Red,Red,1,True
3.7,110.83,4.0699615,2.699341,,1.0217440999999998,2.4435272,Côte de Beaune Red,Red,1,True
3.8,53.13,3.7772339999999995,2.518617,,1.1973403999999999,2.488883,Côte de Beaune Red,Red,1,True
3.8,56.52,4.023607,2.2226228999999997,,1.0127869,2.0059016,Côte de Beaune Red,Red,1,True
4.0,76.24,3.8959997000000004,2.3337777,,1.2555555,2.1380742,Côte de Beaune Red,Red,1,True
4.0,62.27,3.812071,2.680286,,1.3442143,2.0514997999999998,Côte de Beaune Red,Red,1,True
4.0,72.33,3.5779655,2.9329872000000003,,1.3385714,2.1222942000000002,Côte de Beaune Red,Red,1,True
3.7,42.45,3.1963015,3.627397,,1.0,,Côte de Beaune White,White,2,True
3.8,105.45,3.8430986000000003,2.4059155,,1.0845069999999999,2.0676527,Côte de Beaune Red,Red,1,True
4.0,83.09,3.8353126000000004,2.4480803,,1.2791071000000005,2.1525893,Côte de Beaune Red,Red,1,True
3.8,50.77,3.7843964,2.4941547,,1.1945411,2.19285,Côte de Beaune Red,Red,1,True
3.8,,,,,,,Côte de Beaune Red,Red,1,True
3.4,34.18,3.9297729,2.3865912000000002,,1.0136364,2.355682,Côte de Beaune Red,Red,1,True
4.1,88.42,3.9405837,2.6066844,,1.1988063999999998,2.3295226,Côte de Beaune Red,Red,1,True
4.2,88.51,3.9833817000000002,2.7648978,,1.415102,2.3018367000000004,Côte de Beaune Red,Red,1,True
4.0,73.7,3.9364269,2.6587417,,1.6674607,2.1860673,Côte de Beaune Red,Red,1,True
3.8,40.45,4.078372,2.3326356,,1.6270542,2.0601163000000002,Côte de Beaune Red,Red,1,True
3.9,58.05,3.9795523,2.5524622999999997,,1.3775747,2.2944775,Côte de Beaune Red,Red,1,True
3.8,24.12,4.0158825,2.6408498,,1.5019608,2.1060784,Côte de Beaune Red,Red,1,True
4.0,67.83,2.8358947999999997,3.7373682999999995,,1.6593683999999995,,Côte de Beaune White,White,2,True
3.6,56.24,3.5049303,2.7059722,,1.138125,2.793542,Côte de Beaune Red,Red,1,True
3.8,57.04,3.6990477999999993,2.7513094,,1.8410715,2.3375397,Côte de Beaune Red,Red,1,True
3.7,38.81,3.6033716,2.4441714,,1.3359999999999999,2.1422284,Côte de Beaune Red,Red,1,True
4.1,99.0,3.756738,2.7528875,,1.3159357,2.4147060000000002,Côte de Beaune Red,Red,1,True
4.3,,3.8726102999999994,2.5163450000000003,,1.6939398,2.3671362,Côte de Beaune Red,Red,1,True
4.3,,3.9901699999999996,2.8669404999999997,,1.8166572,2.2788103,Côte de Beaune Red,Red,1,True
4.0,78.51,3.837025,2.65269,,1.3460127,2.4013925,Côte de Beaune Red,Red,1,True
4.1,77.96,3.9867814,2.78103,,1.1556224,2.114163,Côte de Beaune Red,Red,1,True
4.1,45.05,3.210226,3.2979095000000003,,1.8153107,,Côte de Beaune White,White,2,True
4.4,124.83,4.0854106,2.5780513,,1.7678718999999998,2.3349227999999997,Côte de Beaune Red,Red,1,True
3.8,45.06,4.0216155,2.606923,,1.4834616000000005,2.0886153999999997,Côte de Beaune Red,Red,1,True
4.1,84.77,3.8818222999999996,2.744068,,1.4603814,2.408856,Côte de Beaune Red,Red,1,True
4.1,51.93,3.9120633999999996,2.6607938,,1.1973016,2.2847619999999997,Côte de Beaune Red,Red,1,True
4.2,195.6,4.1476239999999995,3.2485150000000003,,1.4421781999999999,2.1497029999999997,Côte de Beaune Red,Red,1,True
